datetime,precipitation_utsunomiya,precipitation_chiba,precipitation_tokyo,temperature_utsunomiya,temperature_chiba,temperature_tokyo,winddirection_utsunomiya,winddirection_chiba,winddirection_tokyo,windspeed_utsunomiya,windspeed_chiba,windspeed_tokyo,pollen_utsunomiya,pollen_chiba,pollen_tokyo
2017020101,0.0,0.0,0.0,-1.0,4.1,2.9,16,1,2,2.7,2.5,1.3,0.0,8.0,0.0
2017020102,0.0,0.0,0.0,-1.1,4.2,2.6,1,1,1,3.3,1.5,0.9,0.0,24.0,4.0
2017020103,0.0,0.0,0.0,-0.7,4.2,2.4,1,15,16,4.0,1.7,0.6,4.0,32.0,12.0
2017020104,0.0,0.0,0.0,-1.1,4.4,1.8,1,15,1,4.1,3.1,1.4,0.0,12.0,0.0
2017020105,0.0,0.0,0.0,-1.2,4.1,1.5,2,14,14,3.7,3.4,0.9,0.0,32.0,4.0
2017020106,0.0,0.0,0.0,-1.8,4.0,1.1,1,15,15,2.6,2.3,1.0,4.0,4.0,0.0
2017020107,0.0,0.0,0.0,-2.1,3.7,0.7,16,15,14,2.9,1.8,1.3,0.0,12.0,0.0
2017020108,0.0,0.0,0.0,-0.2,3.9,2.0,16,14,14,2.2,2.3,1.0,8.0,16.0,8.0
2017020109,0.0,0.0,0.0,1.8,5.8,3.3,1,13,1,1.2,0.6,1.3,36.0,16.0,12.0
2017020110,0.0,0.0,0.0,2.4,6.9,4.8,2,14,1,3.4,2.4,1.4,98.0,16.0,36.0
2017020111,0.0,0.0,0.0,3.8,7.8,6.8,1,12,1,1.5,1.8,1.3,32.0,28.0,20.0
2017020112,0.0,0.0,0.0,6.2,9.3,7.6,3,11,6,1.6,1.9,2.1,332.0,28.0,24.0
2017020113,0.0,0.0,0.0,6.6,9.4,8.4,3,12,5,1.2,3.2,1.7,36.0,16.0,28.0
2017020114,0.0,0.0,0.0,7.9,8.8,9.5,5,12,1,1.9,3.8,1.2,110.0,0.0,36.0
2017020115,0.0,0.0,0.0,8.0,10.2,8.6,4,13,15,1.5,2.5,1.4,147.0,8.0,24.0
2017020116,0.0,0.0,0.0,8.2,10.2,9.1,9,13,14,2.2,3.4,1.6,32.0,16.0,49.0
2017020117,0.0,0.0,0.0,7.3,10.0,8.2,11,14,0,3.9,2.5,0.2,20.0,28.0,61.0
2017020118,0.0,0.0,0.0,5.9,9.2,6.3,10,13,14,4.8,1.0,0.5,4.0,28.0,73.0
2017020119,0.0,0.0,0.0,4.9,9.2,3.9,11,14,0,4.7,2.8,0.0,20.0,24.0,86.0
2017020120,0.0,0.0,0.0,4.2,8.4,5.3,1,14,13,5.4,1.3,0.9,483.0,16.0,77.0
2017020121,0.0,0.0,0.0,4.9,8.8,6.3,15,13,16,5.2,3.5,1.7,151.0,20.0,45.0
2017020122,0.0,0.0,0.0,3.7,7.4,5.0,15,14,15,5.8,7.4,1.5,114.0,65.0,20.0
2017020123,0.0,0.0,0.0,2.5,6.2,4.6,14,14,15,3.7,6.9,1.5,4.0,36.0,4.0
2017020124,0.0,0.0,0.0,1.7,5.2,3.4,14,14,16,3.3,7.5,2.2,16.0,53.0,20.0
2017020201,0.0,0.0,0.0,1.1,4.5,3.1,15,14,15,3.1,6.3,2.2,0.0,49.0,8.0
2017020202,0.0,0.0,0.0,-0.4,4.0,2.9,11,14,16,1.5,7.8,1.7,0.0,61.0,4.0
2017020203,0.0,0.0,0.0,1.0,3.2,2.8,13,14,15,4.5,7.8,2.4,4.0,45.0,16.0
2017020204,0.0,0.0,0.0,-0.1,2.7,1.3,1,15,1,2.4,6.5,2.4,4.0,8.0,8.0
2017020205,0.0,0.0,0.0,-0.7,2.6,1.6,2,15,16,0.8,6.8,1.8,0.0,20.0,8.0
2017020206,0.0,0.0,0.0,-1.3,2.4,1.4,4,15,16,1.0,2.7,2.4,0.0,8.0,20.0
2017020207,0.0,0.0,0.0,-2.0,2.5,1.6,6,14,15,0.8,8.8,2.4,8.0,16.0,12.0
2017020208,0.0,0.0,0.0,-0.2,3.3,2.7,6,13,15,0.9,7.4,1.9,4.0,24.0,12.0
2017020209,0.0,0.0,0.0,2.0,4.9,4.0,4,13,15,2.0,6.2,2.6,65.0,8.0,61.0
2017020210,0.0,0.0,0.0,3.9,6.2,5.5,4,13,15,1.2,8.9,2.7,73.0,65.0,20.0
2017020211,0.0,0.0,0.0,5.3,6.6,7.2,3,13,15,2.2,6.3,2.1,36.0,28.0,77.0
2017020212,0.0,0.0,0.0,6.3,7.9,8.5,1,13,14,2.2,10.1,2.9,98.0,4.0,86.0
2017020213,0.0,0.0,0.0,6.8,9.0,9.2,14,14,12,7.2,9.2,1.3,102.0,32.0,69.0
2017020214,0.0,0.0,0.0,7.4,9.3,9.5,13,14,14,10.0,7.8,2.8,106.0,45.0,32.0
2017020215,0.0,0.0,0.0,6.6,9.3,9.5,13,14,15,8.9,9.2,2.2,159.0,73.0,61.0
2017020216,0.0,0.0,0.0,5.5,8.7,8.7,16,14,15,3.3,5.9,2.4,69.0,65.0,28.0
2017020217,0.0,0.0,0.0,4.1,7.0,7.1,1,14,14,2.1,6.8,1.7,36.0,102.0,32.0
2017020218,0.0,0.0,0.0,2.8,6.2,5.2,10,15,15,5.1,4.0,1.9,16.0,90.0,16.0
2017020219,0.0,0.0,0.0,2.5,5.1,4.0,9,14,2,5.4,3.2,1.0,8.0,28.0,24.0
2017020220,0.0,0.0,0.0,2.7,5.1,2.3,8,15,0,5.3,3.1,0.1,4.0,12.0,36.0
2017020221,0.0,0.0,0.0,2.6,4.2,0.3,9,12,1,5.5,0.9,0.3,0.0,41.0,16.0
2017020222,0.0,0.0,0.0,3.0,4.0,0.6,9,9,10,8.0,1.0,0.6,12.0,24.0,24.0
2017020223,0.0,0.0,0.0,3.1,3.9,-0.1,9,9,0,5.2,2.4,0.2,20.0,24.0,45.0
2017020224,0.0,0.0,0.0,3.0,3.1,-0.5,12,8,0,1.4,1.7,0.2,20.0,8.0,57.0
2017020301,0.0,0.0,0.0,1.6,2.9,0.0,1,11,14,3.2,1.3,0.6,4.0,24.0,28.0
2017020302,0.0,0.0,0.0,0.8,3.1,-0.3,1,11,11,3.7,2.3,1.1,16.0,20.0,24.0
2017020303,0.0,0.0,0.0,0.1,5.8,-0.7,1,13,16,3.2,3.5,0.7,8.0,20.0,16.0
2017020304,0.0,0.0,0.0,-0.4,7.2,-0.8,16,14,11,3.2,6.7,0.4,4.0,41.0,4.0
2017020305,0.0,0.0,0.0,-1.2,5.1,0.3,15,14,12,2.1,5.2,1.4,0.0,8.0,12.0
2017020306,0.0,0.0,0.0,-1.6,5.1,1.6,15,14,1,1.3,8.8,1.2,0.0,8.0,12.0
2017020307,0.0,0.0,0.0,-1.6,5.9,3.6,6,14,3,1.4,9.5,2.8,4.0,77.0,12.0
2017020308,0.0,0.0,0.0,1.1,6.7,6.0,5,14,16,2.7,9.3,1.3,188.0,12.0,20.0
2017020309,0.0,0.0,0.0,4.8,8.1,8.0,5,13,10,1.7,5.7,1.1,20.0,41.0,4.0
2017020310,0.0,0.0,0.0,7.5,9.4,9.7,5,14,14,5.2,6.3,2.4,20.0,8.0,36.0
2017020311,0.0,0.0,0.0,8.8,10.5,11.5,4,14,13,4.6,9.5,1.8,12.0,12.0,28.0
2017020312,0.0,0.0,0.0,9.5,11.4,12.0,7,14,15,3.2,6.2,3.2,0.0,12.0,16.0
2017020313,0.0,0.0,0.0,10.3,12.1,12.4,7,13,14,2.2,7.7,3.8,4.0,49.0,16.0
2017020314,0.0,0.0,0.0,10.4,12.8,13.3,2,14,15,1.1,6.8,2.8,16.0,127.0,20.0
2017020315,0.0,0.0,0.0,11.0,12.3,11.2,6,14,1,3.1,7.1,2.8,20.0,98.0,20.0
2017020316,0.0,0.0,0.0,10.4,11.8,9.7,7,14,1,4.8,5.3,2.9,28.0,94.0,32.0
2017020317,0.0,0.0,0.0,8.4,10.7,8.3,1,14,16,5.4,4.0,1.8,217.0,98.0,36.0
