datetime,pollen_utsunomiya,pollen_chiba,pollen_tokyo
2020040101,96.0,8.0,48.0
2020040102,72.0,4.0,48.0
2020040103,48.0,4.0,60.0
2020040104,92.0,4.0,48.0
2020040105,72.0,4.0,48.0
2020040106,124.0,0.0,60.0
2020040107,100.0,0.0,68.0
2020040108,80.0,0.0,76.0
2020040109,88.0,0.0,0.0
2020040110,92.0,16.0,0.0
2020040111,132.0,16.0,28.0
2020040112,28.0,16.0,0.0
2020040113,36.0,8.0,0.0
2020040114,36.0,16.0,0.0
2020040115,20.0,16.0,0.0
2020040116,88.0,16.0,0.0
2020040117,20.0,4.0,0.0
2020040118,20.0,4.0,0.0
2020040119,64.0,4.0,0.0
2020040120,48.0,12.0,0.0
2020040121,40.0,12.0,0.0
2020040122,8.0,12.0,0.0
2020040123,20.0,12.0,24.0
2020040124,12.0,12.0,72.0
2020040201,52.0,16.0,44.0
2020040202,48.0,16.0,36.0
2020040203,64.0,24.0,32.0
2020040204,52.0,24.0,20.0
2020040205,52.0,24.0,32.0
2020040206,136.0,24.0,28.0
2020040207,80.0,20.0,28.0
2020040208,56.0,24.0,28.0
2020040209,32.0,20.0,28.0
2020040210,44.0,20.0,36.0
2020040211,52.0,20.0,28.0
2020040212,84.0,20.0,32.0
2020040213,92.0,20.0,40.0
2020040214,104.0,20.0,36.0
2020040215,108.0,20.0,40.0
2020040216,136.0,28.0,52.0
2020040217,148.0,24.0,48.0
2020040218,136.0,24.0,48.0
2020040219,128.0,24.0,40.0
2020040220,108.0,24.0,32.0
2020040221,84.0,24.0,40.0
2020040222,40.0,24.0,32.0
2020040223,108.0,20.0,32.0
2020040224,144.0,24.0,44.0
2020040301,128.0,52.0,40.0
2020040302,52.0,44.0,40.0
2020040303,52.0,48.0,64.0
2020040304,44.0,44.0,48.0
2020040305,80.0,40.0,44.0
2020040306,56.0,44.0,56.0
2020040307,132.0,40.0,88.0
2020040308,136.0,40.0,96.0
2020040309,100.0,36.0,80.0
2020040310,76.0,32.0,68.0
2020040311,76.0,32.0,52.0
2020040312,48.0,32.0,48.0
2020040313,52.0,32.0,40.0
2020040314,60.0,32.0,44.0
2020040315,68.0,32.0,44.0
2020040316,92.0,32.0,44.0
2020040317,84.0,24.0,36.0
2020040318,64.0,24.0,36.0
2020040319,44.0,24.0,28.0
2020040320,100.0,24.0,28.0
2020040321,104.0,28.0,24.0
2020040322,60.0,24.0,28.0
2020040323,40.0,28.0,32.0
2020040324,52.0,24.0,60.0
2020040401,52.0,16.0,72.0
2020040402,76.0,16.0,76.0
2020040403,64.0,16.0,72.0
2020040404,64.0,32.0,68.0
2020040405,60.0,36.0,76.0
2020040406,56.0,40.0,80.0
2020040407,128.0,44.0,100.0
2020040408,108.0,40.0,116.0
2020040409,136.0,36.0,100.0
2020040410,144.0,28.0,60.0
2020040411,88.0,20.0,56.0
2020040412,60.0,20.0,52.0
