datetime,pollen_utsunomiya,pollen_chiba,pollen_tokyo
2020040101,4.0,4.0,0.0
2020040102,8.0,4.0,8.0
2020040103,8.0,4.0,4.0
2020040104,4.0,4.0,0.0
2020040105,8.0,4.0,0.0
2020040106,4.0,4.0,4.0
2020040107,8.0,4.0,0.0
2020040108,4.0,4.0,4.0
2020040109,4.0,0.0,4.0
2020040110,4.0,0.0,4.0
2020040111,4.0,0.0,0.0
2020040112,4.0,0.0,0.0
2020040113,0.0,0.0,0.0
2020040114,4.0,0.0,0.0
2020040115,0.0,0.0,4.0
2020040116,8.0,0.0,0.0
2020040117,4.0,0.0,0.0
2020040118,0.0,0.0,4.0
2020040119,4.0,0.0,4.0
2020040120,4.0,0.0,0.0
2020040121,8.0,0.0,4.0
2020040122,4.0,0.0,0.0
2020040123,0.0,0.0,8.0
2020040124,4.0,0.0,0.0
2020040201,0.0,0.0,12.0
2020040202,0.0,0.0,0.0
2020040203,4.0,4.0,0.0
2020040204,4.0,0.0,4.0
2020040205,4.0,4.0,0.0
2020040206,0.0,4.0,4.0
2020040207,4.0,4.0,0.0
2020040208,4.0,4.0,4.0
2020040209,4.0,4.0,4.0
2020040210,4.0,4.0,4.0
2020040211,4.0,4.0,4.0
2020040212,4.0,4.0,0.0
2020040213,4.0,4.0,0.0
2020040214,4.0,4.0,0.0
2020040215,4.0,4.0,4.0
2020040216,12.0,4.0,0.0
2020040217,8.0,8.0,0.0
2020040218,0.0,8.0,0.0
2020040219,0.0,8.0,0.0
2020040220,8.0,8.0,0.0
2020040221,4.0,8.0,0.0
2020040222,4.0,4.0,0.0
2020040223,4.0,4.0,8.0
2020040224,8.0,4.0,8.0
2020040301,8.0,4.0,4.0
2020040302,8.0,4.0,4.0
2020040303,8.0,4.0,4.0
2020040304,4.0,4.0,4.0
2020040305,4.0,4.0,4.0
2020040306,0.0,4.0,0.0
2020040307,4.0,4.0,4.0
2020040308,4.0,8.0,4.0
2020040309,4.0,8.0,4.0
2020040310,4.0,8.0,4.0
2020040311,8.0,8.0,4.0
2020040312,4.0,8.0,4.0
2020040313,4.0,4.0,4.0
2020040314,8.0,4.0,4.0
2020040315,12.0,4.0,4.0
2020040316,8.0,4.0,4.0
2020040317,8.0,4.0,4.0
2020040318,8.0,4.0,4.0
2020040319,4.0,4.0,4.0
