datetime,pollen_utsunomiya,pollen_chiba,pollen_tokyo
2020040101,0.0,4.0,4.0
2020040102,0.0,4.0,0.0
2020040103,4.0,4.0,4.0
2020040104,4.0,4.0,4.0
2020040105,4.0,4.0,4.0
2020040106,4.0,0.0,0.0
2020040107,4.0,4.0,0.0
2020040108,4.0,4.0,4.0
2020040109,0.0,0.0,4.0
2020040110,4.0,4.0,4.0
2020040111,4.0,4.0,4.0
2020040112,0.0,0.0,0.0
2020040113,0.0,0.0,0.0
2020040114,0.0,0.0,0.0
2020040115,0.0,0.0,0.0
2020040116,0.0,0.0,0.0
2020040117,0.0,0.0,0.0
2020040118,0.0,0.0,0.0
2020040119,0.0,0.0,0.0
2020040120,0.0,0.0,0.0
2020040121,0.0,0.0,0.0
2020040122,0.0,0.0,0.0
2020040123,0.0,0.0,0.0
2020040124,0.0,0.0,0.0
2020040201,0.0,0.0,0.0
2020040202,0.0,0.0,0.0
2020040203,4.0,0.0,0.0
2020040204,0.0,4.0,0.0
2020040205,4.0,4.0,0.0
2020040206,0.0,4.0,4.0
2020040207,0.0,4.0,4.0
2020040208,4.0,8.0,4.0
2020040209,8.0,12.0,4.0
2020040210,8.0,16.0,4.0
2020040211,8.0,12.0,4.0
2020040212,12.0,16.0,8.0
2020040213,8.0,16.0,8.0
2020040214,8.0,20.0,8.0
2020040215,8.0,20.0,8.0
2020040216,8.0,24.0,8.0
2020040217,8.0,20.0,8.0
2020040218,4.0,20.0,8.0
2020040219,4.0,28.0,8.0
2020040220,8.0,20.0,8.0
2020040221,8.0,12.0,4.0
2020040222,12.0,16.0,4.0
2020040223,12.0,8.0,4.0
2020040224,8.0,8.0,4.0
2020040301,8.0,12.0,4.0
2020040302,4.0,8.0,4.0
2020040303,4.0,4.0,4.0
2020040304,4.0,8.0,4.0
2020040305,4.0,4.0,4.0
2020040306,4.0,8.0,4.0
2020040307,4.0,4.0,4.0
2020040308,8.0,8.0,4.0
2020040309,8.0,12.0,8.0
2020040310,8.0,12.0,8.0
2020040311,12.0,12.0,12.0
2020040312,12.0,12.0,8.0
2020040313,12.0,12.0,8.0
2020040314,12.0,12.0,8.0
2020040315,12.0,12.0,8.0
2020040316,12.0,8.0,4.0
2020040317,12.0,12.0,4.0
2020040318,12.0,12.0,4.0
2020040319,12.0,8.0,4.0
2020040320,8.0,8.0,4.0
2020040321,8.0,8.0,4.0
2020040322,8.0,8.0,8.0
2020040323,8.0,4.0,8.0
2020040324,8.0,8.0,8.0
2020040401,4.0,4.0,8.0
2020040402,4.0,4.0,4.0
2020040403,4.0,4.0,8.0
2020040404,4.0,4.0,8.0
2020040405,4.0,8.0,8.0
2020040406,4.0,8.0,8.0
2020040407,8.0,8.0,8.0
2020040408,8.0,16.0,12.0
2020040409,8.0,8.0,8.0
2020040410,8.0,12.0,8.0
2020040411,12.0,16.0,12.0
2020040412,12.0,8.0,12.0
2020040413,12.0,12.0,8.0
2020040414,12.0,12.0,8.0
2020040415,12.0,8.0,8.0
2020040416,12.0,8.0,4.0
2020040417,8.0,8.0,4.0
2020040418,8.0,8.0,0.0
2020040419,12.0,8.0,4.0
2020040420,8.0,4.0,4.0
2020040421,8.0,4.0,4.0
2020040422,8.0,4.0,4.0
2020040423,12.0,8.0,8.0
2020040424,12.0,8.0,4.0
2020040501,8.0,8.0,8.0
2020040502,8.0,4.0,8.0
2020040503,8.0,8.0,8.0
2020040504,8.0,8.0,8.0
2020040505,8.0,8.0,8.0
2020040506,8.0,8.0,4.0
2020040507,8.0,12.0,4.0
2020040508,12.0,16.0,4.0
2020040509,0.0,12.0,4.0
2020040510,4.0,16.0,4.0
2020040511,4.0,12.0,8.0
2020040512,4.0,16.0,4.0
2020040513,4.0,16.0,4.0
2020040514,4.0,16.0,4.0
2020040515,4.0,12.0,4.0
2020040516,4.0,12.0,8.0
2020040517,8.0,12.0,8.0
2020040518,8.0,12.0,4.0
2020040519,8.0,16.0,4.0
2020040520,8.0,8.0,8.0
2020040521,8.0,8.0,8.0
2020040522,8.0,8.0,8.0
2020040523,8.0,8.0,8.0
2020040524,8.0,4.0,8.0
2020040601,8.0,4.0,8.0
2020040602,4.0,8.0,8.0
2020040603,4.0,8.0,4.0
2020040604,4.0,8.0,8.0
2020040605,4.0,8.0,4.0
2020040606,8.0,8.0,8.0
2020040607,4.0,8.0,8.0
2020040608,8.0,12.0,8.0
2020040609,8.0,12.0,8.0
2020040610,8.0,12.0,12.0
2020040611,12.0,12.0,8.0
2020040612,12.0,12.0,8.0
2020040613,12.0,12.0,8.0
2020040614,12.0,12.0,8.0
2020040615,12.0,12.0,8.0
2020040616,12.0,12.0,8.0
2020040617,8.0,8.0,8.0
2020040618,8.0,8.0,8.0
2020040619,8.0,8.0,8.0
2020040620,8.0,8.0,8.0
2020040621,8.0,8.0,8.0
2020040622,8.0,8.0,8.0
2020040623,8.0,8.0,8.0
2020040624,4.0,8.0,4.0
2020040701,4.0,8.0,4.0
2020040702,4.0,8.0,8.0
2020040703,4.0,8.0,4.0
2020040704,4.0,8.0,4.0
2020040705,4.0,8.0,4.0
2020040706,8.0,8.0,8.0
2020040707,4.0,12.0,4.0
2020040708,8.0,12.0,8.0
2020040709,8.0,20.0,8.0
2020040710,8.0,16.0,8.0
2020040711,8.0,16.0,8.0
2020040712,8.0,12.0,12.0
2020040713,12.0,12.0,8.0
2020040714,12.0,8.0,8.0
2020040715,8.0,8.0,8.0
2020040716,12.0,12.0,4.0
2020040717,8.0,12.0,4.0
2020040718,8.0,8.0,4.0
2020040719,8.0,12.0,4.0
2020040720,8.0,12.0,8.0
2020040721,8.0,12.0,8.0
2020040722,8.0,8.0,4.0
2020040723,8.0,8.0,4.0
2020040724,8.0,8.0,8.0
2020040801,8.0,8.0,4.0
2020040802,8.0,4.0,4.0
2020040803,8.0,8.0,4.0
2020040804,8.0,8.0,8.0
2020040805,8.0,8.0,8.0
2020040806,4.0,8.0,8.0
2020040807,8.0,8.0,8.0
2020040808,8.0,16.0,8.0
2020040809,8.0,16.0,12.0
2020040810,12.0,16.0,12.0
2020040811,12.0,16.0,8.0
2020040812,12.0,12.0,12.0
2020040813,12.0,12.0,8.0
2020040814,16.0,12.0,8.0
2020040815,12.0,12.0,4.0
2020040816,12.0,12.0,4.0
2020040817,12.0,12.0,4.0
2020040818,12.0,12.0,4.0
2020040819,12.0,12.0,4.0
2020040820,12.0,12.0,4.0
2020040821,12.0,8.0,12.0
2020040822,12.0,8.0,12.0
2020040823,12.0,8.0,8.0
2020040824,12.0,8.0,12.0
2020040901,8.0,4.0,12.0
2020040902,8.0,8.0,12.0
2020040903,8.0,8.0,8.0
2020040904,8.0,8.0,8.0
2020040905,8.0,16.0,4.0
2020040906,8.0,8.0,8.0
2020040907,8.0,16.0,4.0
2020040908,12.0,16.0,8.0
2020040909,8.0,24.0,8.0
2020040910,12.0,24.0,8.0
2020040911,8.0,24.0,8.0
2020040912,12.0,12.0,8.0
2020040913,12.0,16.0,4.0
2020040914,16.0,12.0,4.0
2020040915,12.0,20.0,4.0
2020040916,12.0,20.0,4.0
2020040917,12.0,24.0,4.0
2020040918,12.0,20.0,4.0
2020040919,4.0,16.0,4.0
2020040920,0.0,12.0,4.0
2020040921,4.0,8.0,4.0
2020040922,4.0,12.0,0.0
2020040923,4.0,8.0,4.0
2020040924,4.0,8.0,4.0
2020041001,0.0,8.0,0.0
2020041002,4.0,4.0,4.0
2020041003,4.0,4.0,4.0
2020041004,4.0,4.0,4.0
2020041005,4.0,4.0,4.0
2020041006,0.0,8.0,8.0
2020041007,4.0,8.0,8.0
2020041008,4.0,12.0,8.0
2020041009,8.0,12.0,4.0
2020041010,8.0,8.0,8.0
2020041011,8.0,16.0,8.0
2020041012,12.0,12.0,8.0
2020041013,12.0,16.0,8.0
2020041014,8.0,16.0,4.0
2020041015,8.0,20.0,4.0
2020041016,8.0,20.0,4.0
2020041017,8.0,20.0,4.0
2020041018,8.0,16.0,4.0
2020041019,8.0,16.0,8.0
2020041020,8.0,12.0,4.0
2020041021,8.0,12.0,4.0
2020041022,8.0,12.0,4.0
2020041023,8.0,12.0,4.0
2020041024,8.0,8.0,4.0
2020041101,4.0,8.0,4.0
2020041102,4.0,8.0,4.0
2020041103,4.0,8.0,4.0
2020041104,4.0,4.0,4.0
2020041105,4.0,12.0,4.0
2020041106,4.0,12.0,4.0
2020041107,4.0,16.0,4.0
2020041108,8.0,12.0,8.0
2020041109,12.0,12.0,4.0
2020041110,8.0,16.0,4.0
2020041111,8.0,20.0,8.0
2020041112,8.0,12.0,8.0
2020041113,8.0,16.0,8.0
2020041114,8.0,16.0,8.0
2020041115,12.0,16.0,4.0
2020041116,12.0,20.0,4.0
2020041117,12.0,20.0,4.0
2020041118,12.0,20.0,4.0
2020041119,12.0,24.0,8.0
2020041120,12.0,16.0,4.0
2020041121,8.0,16.0,4.0
2020041122,8.0,12.0,8.0
2020041123,0.0,8.0,4.0
